,0
2022-12-14 10:21:30.036081,777.58
2022-12-14 10:21:30.036081,777.58
2022-12-15 10:21:30.037094,777.58
2022-12-15 10:21:30.037094,777.58
2022-12-16 10:21:30.037094,777.58
2022-12-16 10:21:30.037094,777.58
2022-12-17 10:21:30.037094,777.58
2022-12-18 10:21:30.037094,777.58
2022-12-18 10:21:30.037094,777.58
2022-12-19 10:21:30.037094,777.58
2022-12-19 10:21:30.037094,777.58
2022-12-20 10:21:30.037094,777.58
2022-12-20 10:21:30.037094,777.58
2022-12-21 10:21:30.037094,777.58
2022-12-22 10:21:30.037094,777.58
2022-12-22 10:21:30.037094,777.58
2022-12-23 10:21:30.037094,777.58
2022-12-23 10:21:30.037094,777.58
2022-12-24 10:21:30.037094,777.58
2022-12-24 10:21:30.037094,777.58
2022-12-25 10:21:30.037094,777.58
2022-12-26 10:21:30.037094,777.58
2022-12-26 10:21:30.037094,777.58
2022-12-27 10:21:30.037094,777.58
2022-12-27 10:21:30.037094,777.58
2022-12-28 10:21:30.037094,777.58
2022-12-28 10:21:30.038040,777.58
2022-12-29 10:21:30.038040,777.58
2022-12-30 10:21:30.038040,777.58
2022-12-30 10:21:30.038040,777.58
2022-12-31 10:21:30.038040,777.58
2022-12-31 10:21:30.038040,777.58
2023-01-01 10:21:30.038040,777.58
2023-01-01 10:21:30.038040,777.58
2023-01-02 10:21:30.038040,777.58
2023-01-03 10:21:30.038040,777.58
2023-01-03 10:21:30.038040,777.58
2023-01-04 10:21:30.038040,777.58
2023-01-04 10:21:30.038040,777.58
2023-01-05 10:21:30.038040,777.58
2023-01-06 10:21:30.038040,777.58
2023-01-06 10:21:30.038040,777.58
2023-01-07 10:21:30.038040,777.58
2023-01-07 10:21:30.038040,777.58
2023-01-08 10:21:30.038040,777.58
2023-01-08 10:21:30.038040,777.58
2023-01-09 10:21:30.038040,777.58
2023-01-10 10:21:30.038040,777.58
2023-01-10 10:21:30.038040,777.58
2023-01-11 10:21:30.038040,777.58
2023-01-11 10:21:30.038040,777.58
2023-01-12 10:21:30.038040,777.58
2023-01-12 10:21:30.038040,777.58
2023-01-13 10:21:30.039141,777.58
2023-01-14 10:21:30.039141,777.58
2023-01-14 10:21:30.039141,777.58
2023-01-15 10:21:30.039141,777.58
2023-01-15 10:21:30.039141,777.58
2023-01-16 10:21:30.039141,777.58
2023-01-16 10:21:30.039141,777.58
2023-01-17 10:21:30.039141,777.58
2023-01-18 10:21:30.039141,777.58
2023-01-18 10:21:30.039141,777.58
2023-01-19 10:21:30.039141,777.58
2023-01-19 10:21:30.039141,777.58
2023-01-20 10:21:30.039141,777.58
2023-01-20 10:21:30.039141,777.58
2023-01-21 10:21:30.039141,777.58
2023-01-22 10:21:30.039141,777.58
2023-01-22 10:21:30.039141,777.58
2023-01-23 10:21:30.039141,777.58
2023-01-23 10:21:30.039141,777.58
2023-01-24 10:21:30.039141,777.58
2023-01-25 10:21:30.039141,777.58
2023-01-25 10:21:30.039141,777.58
2023-01-26 10:21:30.040091,777.58
2023-01-26 10:21:30.040091,777.58
2023-01-27 10:21:30.040091,777.58
2023-01-27 10:21:30.040091,777.58
2023-01-28 10:21:30.040091,777.58
2023-01-29 10:21:30.040091,777.58
2023-01-29 10:21:30.040091,777.58
2023-01-30 10:21:30.040091,777.58
2023-01-30 10:21:30.040091,777.58
2023-01-31 10:21:30.040091,777.58
2023-01-31 10:21:30.040091,777.58
2023-02-01 10:21:30.040091,777.58
2023-02-02 10:21:30.040091,739.7863894523327
2023-02-02 10:21:30.040091,739.7863894523327
2023-02-03 10:21:30.040091,738.7785598377283
2023-02-03 10:21:30.040091,738.7785598377283
2023-02-04 10:21:30.040091,702.2447363083164
2023-02-04 10:21:30.040091,702.2447363083164
2023-02-05 10:21:30.040091,702.7486511156187
2023-02-06 10:21:30.040091,702.7486511156187
2023-02-06 10:21:30.040091,702.2447363083164
2023-02-07 10:21:30.040091,702.2447363083164
2023-02-07 10:21:30.040091,699.221247464503
2023-02-08 10:21:30.040091,699.221247464503
2023-02-08 10:21:30.040091,699.221247464503
2023-02-09 10:21:30.041085,699.221247464503
2023-02-10 10:21:30.041085,698.7173326572008
2023-02-10 10:21:30.041085,698.7173326572008
2023-02-11 10:21:30.041085,697.7095030425963
2023-02-11 10:21:30.041085,697.7095030425963
2023-02-12 10:21:30.041085,697.2055882352942
2023-02-13 10:21:30.041085,697.2055882352942
2023-02-13 10:21:30.041085,696.7016734279919
2023-02-14 10:21:30.041085,696.7016734279919
2023-02-14 10:21:30.041085,695.1899290060852
2023-02-15 10:21:30.041085,695.1899290060852
2023-02-15 10:21:30.041085,694.1820993914807
2023-02-16 10:21:30.041085,694.1820993914807
2023-02-17 10:21:30.041085,693.1742697768763
2023-02-17 10:21:30.041085,693.1742697768763
2023-02-18 10:21:30.041085,690.6546957403651
2023-02-18 10:21:30.041085,690.6546957403651
2023-02-19 10:21:30.041085,689.1429513184585
2023-02-19 10:21:30.041085,689.1429513184585
2023-02-20 10:21:30.041085,686.119462474645
2023-02-21 10:21:30.041085,686.119462474645
2023-02-21 10:21:30.041085,684.6077180527384
2023-02-22 10:21:30.041085,684.6077180527384
2023-02-22 10:21:30.041085,683.5998884381339
2023-02-23 10:21:30.042079,683.5998884381339
2023-02-23 10:21:30.042079,684.6077180527384
2023-02-24 10:21:30.042079,684.6077180527384
2023-02-25 10:21:30.042079,691.1586105476674
2023-02-25 10:21:30.042079,691.1586105476674
2023-02-26 10:21:30.042079,691.6625253549696
2023-02-26 10:21:30.042079,691.6625253549696
2023-02-27 10:21:30.042079,699.7251622718053
2023-02-27 10:21:30.042079,699.7251622718053
2023-02-28 10:21:30.042079,699.221247464503
2023-03-01 10:21:30.042079,699.221247464503
2023-03-01 10:21:30.042079,698.2134178498986
2023-03-02 10:21:30.042079,698.2134178498986
2023-03-02 10:21:30.042079,697.2055882352942
2023-03-03 10:21:30.042079,697.2055882352942
2023-03-04 10:21:30.042079,696.7016734279919
2023-03-04 10:21:30.042079,696.7016734279919
2023-03-05 10:21:30.042079,695.6938438133875
2023-03-05 10:21:30.042079,695.6938438133875
2023-03-06 10:21:30.042079,695.6938438133875
2023-03-06 10:21:30.042079,695.6938438133875
2023-03-07 10:21:30.042079,695.6938438133875
2023-03-08 10:21:30.042079,695.6938438133875
2023-03-08 10:21:30.042079,695.6938438133875
2023-03-09 10:21:30.042079,695.6938438133875
2023-03-09 10:21:30.042079,702.7486511156187
2023-03-10 10:21:30.043088,702.7486511156187
2023-03-10 10:21:30.043088,702.7486511156187
2023-03-11 10:21:30.043088,702.7486511156187
2023-03-12 10:21:30.043088,700.7329918864098
2023-03-12 10:21:30.043088,700.7329918864098
2023-03-13 10:21:30.043088,700.2290770791076
2023-03-13 10:21:30.043088,700.2290770791076
2023-03-14 10:21:30.043088,695.1899290060852
2023-03-14 10:21:30.043088,695.1899290060852
2023-03-15 10:21:30.043088,694.6860141987829
2023-03-16 10:21:30.043088,694.6860141987829
2023-03-16 10:21:30.043088,697.2055882352942
2023-03-17 10:21:30.043088,697.2055882352942
2023-03-17 10:21:30.043088,697.7095030425963
2023-03-18 10:21:30.043088,697.7095030425963
2023-03-18 10:21:30.043088,697.7095030425963
2023-03-19 10:21:30.043088,697.7095030425963
2023-03-20 10:21:30.043088,690.6546957403651
2023-03-20 10:21:30.043088,690.6546957403651
2023-03-21 10:21:30.043088,684.1038032454361
2023-03-21 10:21:30.043088,684.1038032454361
2023-03-22 10:21:30.043088,684.1038032454361
2023-03-23 10:21:30.043088,684.1038032454361
2023-03-23 10:21:30.043088,685.6155476673428
2023-03-24 10:21:30.043088,685.6155476673428
2023-03-24 10:21:30.044086,681.0803144016227
2023-03-25 10:21:30.044086,681.0803144016227
2023-03-25 10:21:30.044086,678.5607403651115
2023-03-26 10:21:30.044086,678.5607403651115
2023-03-27 10:21:30.044086,677.0489959432049
2023-03-27 10:21:30.044086,677.0489959432049
2023-03-28 10:21:30.044086,676.5450811359026
2023-03-28 10:21:30.044086,676.5450811359026
2023-03-29 10:21:30.044086,674.5294219066938
2023-03-29 10:21:30.044086,674.5294219066938
2023-03-30 10:21:30.044086,674.0255070993915
2023-03-31 10:21:30.044086,674.0255070993915
2023-03-31 10:21:30.044086,673.0176774847871
2023-04-01 10:21:30.044086,673.0176774847871
2023-04-01 10:21:30.044086,672.5137626774848
2023-04-02 10:21:30.044086,672.5137626774848
2023-04-02 10:21:30.044086,670.4981034482759
2023-04-03 10:21:30.044086,670.4981034482759
2023-04-04 10:21:30.044086,668.9863590263692
2023-04-04 10:21:30.044086,668.9863590263692
2023-04-05 10:21:30.044086,668.9863590263692
2023-04-05 10:21:30.044086,668.9863590263692
2023-04-06 10:21:30.044086,667.4746146044624
2023-04-06 10:21:30.044086,667.4746146044624
2023-04-07 10:21:30.045031,667.4746146044624
2023-04-08 10:21:30.045031,667.4746146044624
2023-04-08 10:21:30.045031,664.4511257606491
2023-04-09 10:21:30.045031,664.4511257606491
2023-04-09 10:21:30.045031,663.4432961460446
2023-04-10 10:21:30.045031,663.4432961460446
2023-04-11 10:21:30.045031,659.915892494929
2023-04-11 10:21:30.045031,659.915892494929
2023-04-12 10:21:30.045031,658.4041480730223
2023-04-12 10:21:30.045031,658.4041480730223
2023-04-13 10:21:30.045031,656.3884888438134
2023-04-13 10:21:30.045031,656.3884888438134
2023-04-14 10:21:30.045031,654.3728296146045
2023-04-15 10:21:30.045031,654.3728296146045
2023-04-15 10:21:30.045031,653.365
2023-04-16 10:21:30.045031,653.365
2023-04-16 10:21:30.045031,656.3884888438134
2023-04-17 10:21:30.045031,656.3884888438134
2023-04-17 10:21:30.045031,657.3963184584179
2023-04-18 10:21:30.045031,657.3963184584179
2023-04-19 10:21:30.045031,659.915892494929
2023-04-19 10:21:30.045031,659.915892494929
2023-04-20 10:21:30.045031,658.9080628803246
2023-04-20 10:21:30.046042,658.9080628803246
2023-04-21 10:21:30.046042,657.9002332657201
2023-04-21 10:21:30.046042,657.9002332657201
2023-04-22 10:21:30.046042,654.3728296146045
2023-04-23 10:21:30.046042,654.3728296146045
2023-04-23 10:21:30.046042,653.365
2023-04-24 10:21:30.046042,653.365
2023-04-24 10:21:30.046042,652.3571703853955
2023-04-25 10:21:30.046042,652.3571703853955
2023-04-25 10:21:30.046042,652.3571703853955
2023-04-26 10:21:30.046042,652.3571703853955
2023-04-27 10:21:30.046042,652.8610851926978
2023-04-27 10:21:30.046042,652.8610851926978
2023-04-28 10:21:30.046042,652.8610851926978
2023-04-28 10:21:30.046042,652.8610851926978
2023-04-29 10:21:30.046042,650.3415111561866
2023-04-30 10:21:30.046042,650.3415111561866
2023-04-30 10:21:30.046042,650.3415111561866
2023-05-01 10:21:30.046042,650.3415111561866
2023-05-01 10:21:30.046042,650.3415111561866
2023-05-02 10:21:30.046042,650.3415111561866
2023-05-02 10:21:30.046042,649.8375963488844
2023-05-03 10:21:30.046042,649.8375963488844
2023-05-04 10:21:30.047035,648.8297667342799
2023-05-04 10:21:30.047035,648.8297667342799
2023-05-05 10:21:30.047035,647.3180223123733
2023-05-05 10:21:30.047035,647.3180223123733
2023-05-06 10:21:30.047035,650.8454259634889
2023-05-06 10:21:30.047035,650.8454259634889
2023-05-07 10:21:30.047035,651.3493407707911
2023-05-08 10:21:30.047035,651.3493407707911
2023-05-08 10:21:30.047035,653.8689148073022
2023-05-09 10:21:30.047035,653.8689148073022
2023-05-09 10:21:30.047035,653.365
2023-05-10 10:21:30.047035,653.365
2023-05-10 10:21:30.047035,662.4354665314402
2023-05-11 10:21:30.047035,662.4354665314402
2023-05-12 10:21:30.047035,662.9393813387424
2023-05-12 10:21:30.047035,662.9393813387424
2023-05-13 10:21:30.047035,662.9393813387424
2023-05-13 10:21:30.047035,662.9393813387424
2023-05-14 10:21:30.047035,662.9393813387424
2023-05-14 10:21:30.047035,662.9393813387424
2023-05-15 10:21:30.047035,675.5372515212982
2023-05-16 10:21:30.047035,675.5372515212982
2023-05-16 10:21:30.047035,682.0881440162273
2023-05-17 10:21:30.047035,682.0881440162273
2023-05-17 10:21:30.047035,682.5920588235294
2023-05-18 10:21:30.048034,682.5920588235294
2023-05-19 10:21:30.048034,680.0724847870183
2023-05-19 10:21:30.048034,680.0724847870183
2023-05-20 10:21:30.048034,675.0333367139959
2023-05-20 10:21:30.048034,675.0333367139959
2023-05-21 10:21:30.048034,672.5137626774848
2023-05-21 10:21:30.048034,672.5137626774848
2023-05-22 10:21:30.048034,674.0255070993915
2023-05-23 10:21:30.048034,674.0255070993915
2023-05-23 10:21:30.048034,684.6077180527384
2023-05-24 10:21:30.048034,684.6077180527384
2023-05-24 10:21:30.048034,685.6155476673428
2023-05-25 10:21:30.048034,685.6155476673428
2023-05-25 10:21:30.048034,686.6233772819473
2023-05-26 10:21:30.048034,686.6233772819473
2023-05-27 10:21:30.048034,686.119462474645
2023-05-27 10:21:30.048034,686.119462474645
2023-05-28 10:21:30.048034,682.0881440162273
2023-05-28 10:21:30.048034,682.0881440162273
2023-05-29 10:21:30.048034,681.584229208925
2023-05-29 10:21:30.048034,681.584229208925
2023-05-30 10:21:30.048034,681.0803144016227
2023-05-31 10:21:30.048034,681.0803144016227
2023-05-31 10:21:30.048034,682.5920588235294
2023-06-01 10:21:30.048034,682.5920588235294
2023-06-01 10:21:30.048034,684.6077180527384
2023-06-02 10:21:30.049088,684.6077180527384
2023-06-02 10:21:30.049088,681.584229208925
2023-06-03 10:21:30.049088,681.584229208925
2023-06-04 10:21:30.049088,677.5529107505072
2023-06-04 10:21:30.049088,677.5529107505072
2023-06-05 10:21:30.049088,676.5450811359026
2023-06-05 10:21:30.049088,676.5450811359026
2023-06-06 10:21:30.049088,676.5450811359026
2023-06-07 10:21:30.049088,676.5450811359026
2023-06-07 10:21:30.049088,680.0724847870183
2023-06-08 10:21:30.049088,680.0724847870183
2023-06-08 10:21:30.049088,678.5607403651115
2023-06-09 10:21:30.049088,678.5607403651115
2023-06-09 10:21:30.049088,682.5920588235294
2023-06-10 10:21:30.049088,682.5920588235294
2023-06-11 10:21:30.049088,683.0959736308316
2023-06-11 10:21:30.049088,683.0959736308316
2023-06-12 10:21:30.049088,692.6703549695741
2023-06-12 10:21:30.049088,692.6703549695741
2023-06-13 10:21:30.049088,693.6781845841786
2023-06-13 10:21:30.049088,693.6781845841786
2023-06-14 10:21:30.049088,693.1742697768763
2023-06-15 10:21:30.049088,693.1742697768763
2023-06-15 10:21:30.049088,690.6546957403651
2023-06-16 10:21:30.049088,690.6546957403651
2023-06-16 10:21:30.050080,688.135121703854
2023-06-17 10:21:30.050080,688.135121703854
2023-06-17 10:21:30.050080,683.0959736308316
2023-06-18 10:21:30.050080,683.0959736308316
2023-06-19 10:21:30.050080,680.5763995943205
2023-06-19 10:21:30.050080,680.5763995943205
2023-06-20 10:21:30.050080,677.0489959432049
2023-06-20 10:21:30.050080,677.0489959432049
2023-06-21 10:21:30.050080,683.5998884381339
2023-06-21 10:21:30.050080,683.5998884381339
2023-06-22 10:21:30.050080,683.5998884381339
2023-06-23 10:21:30.050080,683.5998884381339
2023-06-23 10:21:30.050080,683.0959736308316
2023-06-24 10:21:30.050080,683.0959736308316
2023-06-24 10:21:30.050080,685.6155476673428
2023-06-25 10:21:30.050080,685.6155476673428
2023-06-26 10:21:30.050080,685.6155476673428
2023-06-26 10:21:30.050080,685.6155476673428
2023-06-27 10:21:30.050080,681.0803144016227
2023-06-27 10:21:30.050080,681.0803144016227
2023-06-28 10:21:30.050080,680.5763995943205
2023-06-28 10:21:30.050080,680.5763995943205
2023-06-29 10:21:30.050080,676.0411663286004
2023-06-30 10:21:30.050080,676.0411663286004
2023-06-30 10:21:30.050080,675.5372515212982
2023-07-01 10:21:30.050080,675.5372515212982
2023-07-01 10:21:30.051085,669.9941886409737
2023-07-02 10:21:30.051085,669.9941886409737
2023-07-02 10:21:30.051085,679.568569979716
2023-07-03 10:21:30.051085,679.568569979716
2023-07-04 10:21:30.051085,680.0724847870183
2023-07-04 10:21:30.051085,680.0724847870183
2023-07-05 10:21:30.051085,677.5529107505072
2023-07-05 10:21:30.051085,677.5529107505072
2023-07-06 10:21:30.051085,675.0333367139959
2023-07-06 10:21:30.051085,675.0333367139959
2023-07-07 10:21:30.051085,675.0333367139959
2023-07-08 10:21:30.051085,675.0333367139959
2023-07-08 10:21:30.051085,677.5529107505072
2023-07-09 10:21:30.051085,677.5529107505072
2023-07-09 10:21:30.051085,678.0568255578094
2023-07-10 10:21:30.051085,678.0568255578094
2023-07-10 10:21:30.051085,677.5529107505072
2023-07-11 10:21:30.051085,677.5529107505072
2023-07-12 10:21:30.051085,674.5294219066938
2023-07-12 10:21:30.051085,674.5294219066938
2023-07-13 10:21:30.051085,677.5529107505072
2023-07-13 10:21:30.051085,677.5529107505072
2023-07-14 10:21:30.051085,678.0568255578094
2023-07-15 10:21:30.051085,678.0568255578094
2023-07-15 10:21:30.051085,680.5763995943205
2023-07-16 10:21:30.052083,680.5763995943205
2023-07-16 10:21:30.052083,680.5763995943205
2023-07-17 10:21:30.052083,680.5763995943205
2023-07-17 10:21:30.052083,680.5763995943205
2023-07-18 10:21:30.052083,680.5763995943205
2023-07-19 10:21:30.052083,680.5763995943205
2023-07-19 10:21:30.052083,680.5763995943205
2023-07-20 10:21:30.052083,680.5763995943205
2023-07-20 10:21:30.052083,680.5763995943205
2023-07-21 10:21:30.052083,680.5763995943205
2023-07-21 10:21:30.052083,680.5763995943205
2023-07-22 10:21:30.052083,673.5215922920893
2023-07-23 10:21:30.052083,673.5215922920893
2023-07-23 10:21:30.052083,673.0176774847871
2023-07-24 10:21:30.052083,673.0176774847871
2023-07-24 10:21:30.052083,673.0176774847871
2023-07-25 10:21:30.052083,673.0176774847871
2023-07-25 10:21:30.052083,680.5763995943205
